,preferredLabel_x,Reduced_pref_seperate_en,Reduced_pref_com,Reduced_pref_obj,Reduced_pref_amod
519,coordinate technical standards for global interoperability,"['No change', 'coordinate technical standards_obj', 'technical standards for global interoperability_amod']",No change,coordinate technical standards_obj,technical standards for global interoperability_amod
521,translate formulae into processes,"['No change', 'translate formulae_obj', 'No change']",No change,translate formulae_obj,No change
522,adjust paper bag machine,"['paper bag machine_com', 'No change', 'No change']",paper bag machine_com,No change,No change
523,place orders for computer products,"['place orders_com', 'No change', 'No change']",place orders_com,No change,No change
525,attach protective attachments to timber piles,"['No change', 'No change', 'protective attachments to timber piles_amod']",No change,No change,protective attachments to timber piles_amod
529,observe fish disease symptoms,"['fish disease symptoms_com', 'No change', 'No change']",fish disease symptoms_com,No change,No change
534,observe patient throughout dental treatment,"['No change', 'observe patient_obj', 'dental treatment_amod']",No change,observe patient_obj,dental treatment_amod
536,keep heavy construction equipment in good condition,"['construction equipment_com', 'keep heavy construction equipment_obj', 'heavy construction equipment in good condition_amod']",construction equipment_com,keep heavy construction equipment_obj,heavy construction equipment in good condition_amod
539,perform pre-assembly quality checks,"['quality checks_com', 'No change', 'assembly quality checks_amod']",quality checks_com,No change,assembly quality checks_amod
549,liaise with specialist contractors for well operations,"['No change', 'No change', 'specialist contractors for well operations_amod']",No change,No change,specialist contractors for well operations_amod
552,set up photographic exhibitions,"['No change', 'No change', 'photographic exhibitions_amod']",No change,No change,photographic exhibitions_amod
556,identify emerging issues in humanitarian area,"['No change', 'identify emerging issues_obj', 'emerging issues in humanitarian area_amod']",No change,identify emerging issues_obj,emerging issues in humanitarian area_amod
561,develop aquaculture hatchery business plan,"['aquaculture hatchery business plan_com', 'No change', 'No change']",aquaculture hatchery business plan_com,No change,No change
562,prepare raw materials for man-made fibres manufacturing,"['No change', 'prepare raw materials_obj', 'raw materials for man-made fibres manufacturing_amod']",No change,prepare raw materials_obj,raw materials for man-made fibres manufacturing_amod
567,assist students with library operations,"['library operations_com', 'assist students_obj', 'No change']",library operations_com,assist students_obj,No change
572,create collection conservation plan,"['collection conservation plan_com', 'No change', 'No change']",collection conservation plan_com,No change,No change
573,assist passengers with timetable information,"['No change', 'assist passengers_obj', 'timetable information_amod']",No change,assist passengers_obj,timetable information_amod
576,represent special-interest groups' members,"['special-interest groups_com', 'No change', 'No change']",special-interest groups_com,No change,No change
578,develop communication networks with shipping sites,"['communication networks_com', 'develop communication networks_obj', 'No change']",communication networks_com,develop communication networks_obj,No change
579,prepare animal materials for brush bristles,"['animal materials_com', 'prepare animal materials_obj', 'brush bristles_amod']",animal materials_com,prepare animal materials_obj,brush bristles_amod
583,international regulations for cargo handling,"['cargo handling_com', 'No change', 'international regulations_amod']",cargo handling_com,No change,international regulations_amod
584,footwear and leather goods marketing planning,"['leather goods marketing planning_com', 'No change', 'No change']",leather goods marketing planning_com,No change,No change
585,communicate health and safety measures,"['No change', 'No change', 'No change']",No change,No change,No change
586,pathologies treated by acupuncture,"['No change', 'No change', 'No change']",No change,No change,No change
588,persuade clients with alternatives,"['No change', 'persuade clients_obj', 'No change']",No change,persuade clients_obj,No change
595,ask questions at events,"['No change', 'ask questions_obj', 'No change']",No change,ask questions_obj,No change
597,carry out makeover for customers,"['No change', 'carry out makeover_obj', 'No change']",No change,carry out makeover_obj,No change
599,hammer cotton and oakum into seams,"['hammer cotton_com', 'No change', 'No change']",hammer cotton_com,No change,No change
604,process customer requests based on the REACh Regulation 1907 2006,"['process customer requests_com', 'No change', 'No change']",process customer requests_com,No change,No change
605,carry out practical tasks with smart devices,"['No change', 'carry out practical tasks_obj', 'practical tasks with smart devices_amod']",No change,carry out practical tasks_obj,practical tasks with smart devices_amod
610,assess management of animals,"['No change', 'assess management_obj', 'No change']",No change,assess management_obj,No change
612,manage the logistics of medicinal products,"['No change', 'manage the logistics_obj', 'medicinal products_amod']",No change,manage the logistics_obj,medicinal products_amod
613,monitor developments in technology used for design,"['No change', 'monitor developments_obj', 'No change']",No change,monitor developments_obj,No change
614,lift stacks of paper,"['No change', 'lift stacks_obj', 'No change']",No change,lift stacks_obj,No change
615,train staff on call quality assurance,"['train staff_com', 'No change', 'No change']",train staff_com,No change,No change
620,test procedures in electricity transmission,"['test procedures_com', 'No change', 'No change']",test procedures_com,No change,No change
